################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -5.6868068482971990E-03 a       117     0     5     1    17
  3.4372594800571149E-01 a       118     0     5     1    18
  5.4011213563406532E-02 a       119     0     5     1    19
  4.9215829477692019E-01 a       120     0     5     1    20
  1.1512866013476439E+00 a       121     0     5     1    21
  2.3831323578750604E-01 a       122     0     5     1    22
 -5.5532196754408525E-01 a       123     0     5     1    23
 -4.1307464033739744E-01 a       124     0     5     1    24
 -5.2494517819089238E-02 a       125     0     5     1    25
  6.7049439618707785E-01 a       126     0     6     1     1
 -9.9059483138336979E-01 a       127     0     6     1     2
  4.2335728218408009E-01 a       128     0     6     1     3
 -6.8412404315246000E-01 a       129     0     6     1     4
 -1.4558562588755014E-01 a       130     0     6     1     5
  1.0612999727233443E+00 a       131     0     6     1     6
  4.0106139164064092E-01 a       132     0     6     1     7
 -8.3384164594189336E-01 a       133     0     6     1     8
  3.8796214417317754E-01 a       134     0     6     1     9
  7.8732746815019483E-01 a       135     0     6     1    10
  3.9676503462125123E-01 a       136     0     6     1    11
 -2.7397357943457246E-01 a       137     0     6     1    12
  1.1173952563331149E+00 a       138     0     6     1    13
  1.0933766040910362E+00 a       139     0     6     1    14
 -6.5465952973577923E-01 a       140     0     6     1    15
  7.7766827317691234E-01 a       141     0     6     1    16
  7.5839745496827560E-01 a       142     0     6     1    17
 -9.3923895188709738E-01 a       143     0     6     1    18
 -3.1705565645339734E-01 a       144     0     6     1    19
  5.0812534841587931E-01 a       145     0     6     1    20
 -8.0286989142128423E-02 a       146     0     6     1    21
  7.6155408021129301E-01 a       147     0     6     1    22
  2.5504956220901426E-01 a       148     0     6     1    23
 -3.0519026417517797E-01 a       149     0     6     1    24
 -2.6280290489461006E-01 a       150     0     6     1    25
  7.9844321331074020E-01 a       151     0     7     1     1
  5.7954671907838562E-01 a       152     0     7     1     2
 -3.5308592105548563E-02 a       153     0     7     1     3
  1.5589228143293851E-01 a       154     0     7     1     4
  4.2745285769101155E-01 a       155     0     7     1     5
  6.2961515210762931E-01 a       156     0     7     1     6
  3.8153912640245424E-02 a       157     0     7     1     7
 -2.3833342072693037E-01 a       158     0     7     1     8
  1.0448453792707006E+00 a       159     0     7     1     9
 -1.3535008565180489E+00 a       160     0     7     1    10
 -1.0555733903040982E+00 a       161     0     7     1    11
 -1.6366570271758313E-01 a       162     0     7     1    12
 -8.4026450178032819E-01 a       163     0     7     1    13
  1.0141931186443220E+00 a       164     0     7     1    14
 -6.6412457192246133E-01 a       165     0     7     1    15
  5.7510814487500528E-01 a       166     0     7     1    16
 -4.4730485610127513E-03 a       167     0     7     1    17
  1.6278649121632863E-01 a       168     0     7     1    18
  1.1670395819082370E-01 a       169     0     7     1    19
 -1.1932422985038185E+00 a       170     0     7     1    20
 -1.1380532257993461E+00 a       171     0     7     1    21
 -1.1446460978586710E+00 a       172     0     7     1    22
 -8.3894401738929525E-01 a       173     0     7     1    23
  3.4631629488218207E-01 a       174     0     7     1    24
  7.0739117300196580E-02 a       175     0     7     1    25
 -1.2224472281586034E-01 a       176     0     8     1     1
  1.0415385567106037E+00 a       177     0     8     1     2
 -6.5196060166420766E-01 a       178     0     8     1     3
  1.0823602094048799E+00 a       179     0     8     1     4
 -4.2493404381662286E-01 a       180     0     8     1     5
 -8.8197712533685713E-01 a       181     0     8     1     6
 -4.1568382107274121E-01 a       182     0     8     1     7
  4.9667266096837775E-01 a       183     0     8     1     8
 -9.2052125437084194E-03 a       184     0     8     1     9
 -1.2012100089049316E+00 a       185     0     8     1    10
 -1.7481471418173272E-01 a       186     0     8     1    11
 -1.3368087107021047E-02 a       187     0     8     1    12
 -1.0511678897841137E+00 a       188     0     8     1    13
 -4.6783993463489404E-01 a       189     0     8     1    14
  6.2019770071824398E-01 a       190     0     8     1    15
 -2.0169562366609128E-01 a       191     0     8     1    16
 -7.0426410641303305E-01 a       192     0     8     1    17
 -2.9104556685300165E-01 a       193     0     8     1    18
  2.1806847268505414E-01 a       194     0     8     1    19
 -3.5456990430251595E-01 a       195     0     8     1    20
  2.5504687250685665E-01 a       196     0     8     1    21
 -9.0941188760281406E-03 a       197     0     8     1    22
 -9.1260747174462176E-01 a       198     0     8     1    23
  6.6245458516430666E-01 a       199     0     8     1    24
  2.5536199251956992E-01 a       200     0     8     1    25
 -4.3846163227858875E-01 a       201     0     9     1     1
 -4.2811629388426359E-01 a       202     0     9     1     2
  5.4534889741849735E-01 a       203     0     9     1     3
 -3.9110001392082094E-01 a       204     0     9     1     4
 -3.5137298279617236E-02 a       205     0     9     1     5
 -3.5816870130401390E-01 a       206     0     9     1     6
  3.9712600235472684E-01 a       207     0     9     1     7
 -1.8123765204095890E-01 a       208     0     9     1     8
  7.5027992646203900E-01 a       209     0     9     1     9
  8.2362472977220258E-01 a       210     0     9     1    10
  1.1051738896163008E-01 a       211     0     9     1    11
 -1.9037785419072953E-01 a       212     0     9     1    12
 -1.5102498418306520E-01 a       213     0     9     1    13
  5.0204637107165950E-01 a       214     0     9     1    14
 -5.3638422820834919E-01 a       215     0     9     1    15
  8.7334252358127618E-01 a       216     0     9     1    16
  1.1630552027400920E+00 a       217     0     9     1    17
 -4.9132783906449701E-01 a       218     0     9     1    18
  9.4231971801488873E-02 a       219     0     9     1    19
  8.2034671610719834E-01 a       220     0     9     1    20
 -4.4628287372997405E-01 a       221     0     9     1    21
 -1.7413974273774774E-01 a       222     0     9     1    22
 -1.6356825261883298E-01 a       223     0     9     1    23
 -6.3869182867223179E-02 a       224     0     9     1    24
 -3.9162211145800535E-01 a       225     0     9     1    25
 -1.0092658213096282E+00 a       226     0    10     1     1
 -1.1598957924508169E+00 a       227     0    10     1     2
  5.9644886043778789E-01 a       228     0    10     1     3
 -7.5867534743976228E-01 a       229     0    10     1     4
  2.2084689883490710E-01 a       230     0    10     1     5
 -1.4626246148355923E-01 a       231     0    10     1     6
  4.9211184649896661E-01 a       232     0    10     1     7
  9.8543882950381564E-02 a       233     0    10     1     8
 -5.5638783550509008E-01 a       234     0    10     1     9
  1.0727686477000615E+00 a       235     0    10     1    10
  1.2406842092704460E+00 a       236     0    10     1    11
  4.3625430664486337E-01 a       237     0    10     1    12
  1.8609314228498891E-01 a       238     0    10     1    13
 -2.3756012704260401E-01 a       239     0    10     1    14
 -5.7613081398243571E-01 a       240     0    10     1    15
 -3.3605516891205833E-01 a       241     0    10     1    16
 -3.1738290408995568E-01 a       242     0    10     1    17
  6.6585208637059656E-01 a       243     0    10     1    18
  2.2537658269268865E-01 a       244     0    10     1    19
  5.5637610654676151E-01 a       245     0    10     1    20
  4.3725694912352625E-01 a       246     0    10     1    21
  5.8352723784064642E-01 a       247     0    10     1    22
  1.3566767800649431E+00 a       248     0    10     1    23
 -4.8026321963382823E-01 a       249     0    10     1    24
 -2.2452620315815430E-01 a       250     0    10     1    25
  2.3841036592278633E-01 a       251     0    11     1     1
  3.1657683225697730E-01 a       252     0    11     1     2
 -1.6865682610048896E-01 a       253     0    11     1     3
 -2.9132053209673930E-01 a       254     0    11     1     4
 -4.4685891628184221E-01 a       255     0    11     1     5
 -5.6497366287809936E-01 a       256     0    11     1     6
 -2.3342244326901424E-02 a       257     0    11     1     7
  7.5287981134168380E-01 a       258     0    11     1     8
 -7.5352111649339892E-01 a       259     0    11     1     9
 -7.5276988299408099E-02 a       260     0    11     1    10
 -2.0147207827415664E-01 a       261     0    11     1    11
  6.4064627571239574E-01 a       262     0    11     1    12
  1.0756365591403412E-01 a       263     0    11     1    13
 -1.6303952941345370E-01 a       264     0    11     1    14
 -6.9494786889175930E-02 a       265     0    11     1    15
 -3.1515204162284710E-01 a       266     0    11     1    16
 -7.2989134411139889E-01 a       267     0    11     1    17
 -1.9292745978891634E-01 a       268     0    11     1    18
  4.7224162871195663E-01 a       269     0    11     1    19
 -3.3593628745569576E-01 a       270     0    11     1    20
  6.1474857657644894E-03 a       271     0    11     1    21
  7.0248593645289559E-01 a       272     0    11     1    22
 -9.9653975734335876E-01 a       273     0    11     1    23
  9.7570495478755892E-01 a       274     0    11     1    24
  1.6784314132143735E-01 a       275     0    11     1    25
  1.0022042369956660E-01 a       276     0    12     1     1
  2.2880575750506313E-01 a       277     0    12     1     2
 -7.4782334272098727E-01 a       278     0    12     1     3
  6.3264546088405837E-01 a       279     0    12     1     4
 -5.4462437804228603E-01 a       280     0    12     1     5
  1.0111925650867423E-01 a       281     0    12     1     6
 -4.7373740789795543E-01 a       282     0    12     1     7
  6.6565759035640271E-02 a       283     0    12     1     8
 -1.7139547601472135E-01 a       284     0    12     1     9
 -6.2521137746386912E-01 a       285     0    12     1    10
 -7.8138517592235524E-01 a       286     0    12     1    11
 -2.0208217269359674E-01 a       287     0    12     1    12
  9.3002971030499582E-01 a       288     0    12     1    13
  7.5208891440325110E-02 a       289     0    12     1    14
  5.2591558753443701E-01 a       290     0    12     1    15
 -4.6487799453242884E-01 a       291     0    12     1    16
 -5.8304577595610685E-01 a       292     0    12     1    17
  1.0878071438079034E-01 a       293     0    12     1    18
 -1.9920161398751068E-01 a       294     0    12     1    19
 -8.3302120160604476E-01 a       295     0    12     1    20
  5.1335881930021782E-03 a       296     0    12     1    21
 -2.2785388492575737E-01 a       297     0    12     1    22
 -7.8338371515428029E-01 a       298     0    12     1    23
 -6.6194452395501380E-01 a       299     0    12     1    24
  2.5870756467649297E-01 a       300     0    12     1    25
 -7.3097386947649312E-01 a       301     0    13     1     1
 -2.2187065523431301E-01 a       302     0    13     1     2
  3.1780117290058696E-01 a       303     0    13     1     3
  5.2889817462860089E-01 a       304     0    13     1     4
  8.6098161354095523E-02 a       305     0    13     1     5
 -5.5830928435530787E-02 a       306     0    13     1     6
 -3.8403649715132382E-02 a       307     0    13     1     7
 -6.9302589352589772E-01 a       308     0    13     1     8
  3.0079324059729384E-01 a       309     0    13     1     9
 -5.2285380896119638E-01 a       310     0    13     1    10
  6.4518293677927130E-01 a       311     0    13     1    11
 -3.0497945800038684E-01 a       312     0    13     1    12
  5.1968132286612234E-01 a       313     0    13     1    13
  1.1631611096726463E-01 a       314     0    13     1    14
 -1.7127685563822279E-01 a       315     0    13     1    15
 -3.6876528771970307E-01 a       316     0    13     1    16
  5.2642541544219257E-01 a       317     0    13     1    17
  6.2220687639386263E-02 a       318     0    13     1    18
 -4.6884299137169361E-01 a       319     0    13     1    19
  1.4006538177443972E-01 a       320     0    13     1    20
  3.1143357726514198E-01 a       321     0    13     1    21
 -9.9347881138820449E-01 a       322     0    13     1    22
  9.4621506931673344E-02 a       323     0    13     1    23
 -1.3236335651166293E+00 a       324     0    13     1    24
 -2.0761715603739184E-02 a       325     0    13     1    25
 -1.0824333713101935E+00 a       326     0    14     1     1
 -6.2795597444902018E-01 a       327     0    14     1     2
  1.3613081312812543E+00 a       328     0    14     1     3
  2.8454872756708011E-01 a       329     0    14     1     4
  3.0816681394778461E-01 a       330     0    14     1     5
  1.5067705385601857E-01 a       331     0    14     1     6
  3.7173059537781500E-01 a       332     0    14     1     7
 -3.4182180628550045E-02 a       333     0    14     1     8
  6.4793757710211619E-02 a       334     0    14     1     9
  5.4091594618248051E-01 a       335     0    14     1    10
  1.2067749867668884E+00 a       336     0    14     1    11
 -1.6529709833651102E-01 a       337     0    14     1    12
 -6.6152517159276780E-01 a       338     0    14     1    13
 -1.3148418627266831E-01 a       339     0    14     1    14
 -1.4912364739141521E+00 a       340     0    14     1    15
  4.5311251301602806E-01 a       341     0    14     1    16
 -1.9713096288921105E-02 a       342     0    14     1    17
  5.7607974262460637E-01 a       343     0    14     1    18
  7.9592520572725561E-02 a       344     0    14     1    19
  5.9729083724378029E-01 a       345     0    14     1    20
  6.5234366452859949E-01 a       346     0    14     1    21
  2.4101827938164330E-01 a       347     0    14     1    22
 -1.6641741813400612E-01 a       348     0    14     1    23
 -3.4018551259965935E-01 a       349     0    14     1    24
 -8.1094458535970304E-01 a       350     0    14     1    25
  3.6705811093581797E-01 a       351     0    15     1     1
  3.3278639754345571E-02 a       352     0    15     1     2
 -1.7943592272465733E-01 a       353     0    15     1     3
 -4.5545031476320497E-01 a       354     0    15     1     4
 -8.3080308235457853E-02 a       355     0    15     1     5
  1.5243446449399792E-01 a       356     0    15     1     6
  1.6339111905988055E-01 a       357     0    15     1     7
 -2.4267262480516741E-01 a       358     0    15     1     8
 -7.7668065178248605E-02 a       359     0    15     1     9
  1.6912044988402777E-02 a       360     0    15     1    10
  9.6010633828660444E-02 a       361     0    15     1    11
  4.3912314517047629E-01 a       362     0    15     1    12
 -4.8052429212907977E-01 a       363     0    15     1    13
 -1.6850801315946159E-01 a       364     0    15     1    14
  7.2970466302253933E-01 a       365     0    15     1    15
  3.4203759705264530E-01 a       366     0    15     1    16
  1.5184961627356949E-01 a       367     0    15     1    17
  8.6813802514228183E-02 a       368     0    15     1    18
 -1.7820303782398111E-01 a       369     0    15     1    19
 -7.2240587444996185E-01 a       370     0    15     1    20
 -4.1456244057760860E-01 a       371     0    15     1    21
 -6.9115349858412056E-01 a       372     0    15     1    22
  1.1678292315562437E-01 a       373     0    15     1    23
 -4.0800627207985855E-03 a       374     0    15     1    24
 -2.2820776891599559E-01 a       375     0    15     1    25
  4.3182121460186335E-01 a       376     0    16     1     1
  8.4240835055297572E-02 a       377     0    16     1     2
 -5.3201904573419598E-02 a       378     0    16     1     3
 -1.8163531472114375E-01 a       379     0    16     1     4
  1.0848226129706411E-01 a       380     0    16     1     5
  3.8636905661165633E-01 a       381     0    16     1     6
 -2.6729421811439252E-01 a       382     0    16     1     7
 -4.1345713541990481E-01 a       383     0    16     1     8
  3.9411394308963998E-01 a       384     0    16     1     9
 -3.6595049411270808E-01 a       385     0    16     1    10
 -8.1472484761775921E-01 a       386     0    16     1    11
  2.0914733521753143E-01 a       387     0    16     1    12
  7.3373908049439351E-01 a       388     0    16     1    13
 -2.3741041951969538E-01 a       389     0    16     1    14
  9.1716217860562255E-01 a       390     0    16     1    15
 -7.1423902965970498E-01 a       391     0    16     1    16
  1.2643429184267269E-01 a       392     0    16     1    17
  7.0654285884333257E-02 a       393     0    16     1    18
 -1.0507379304202823E-02 a       394     0    16     1    19
 -4.6069014872539199E-01 a       395     0    16     1    20
  2.6531679586301876E-01 a       396     0    16     1    21
  9.5568431188287742E-02 a       397     0    16     1    22
  2.4210330249908904E-01 a       398     0    16     1    23
 -1.5144099283145560E-01 a       399     0    16     1    24
  9.6006762021617606E-02 a       400     0    16     1    25
 -4.6434764321158055E-02 a       401     0    17     1     1
 -8.3816876629882894E-02 a       402     0    17     1     2
 -7.4546902417846186E-02 a       403     0    17     1     3
 -1.9821163488365937E-02 a       404     0    17     1     4
 -1.6497961110057613E-01 a       405     0    17     1     5
 -3.1270031489696690E-02 a       406     0    17     1     6
  4.1555208335050990E-02 a       407     0    17     1     7
 -4.1501993931410859E-03 a       408     0    17     1     8
 -7.5030159212823612E-03 a       409     0    17     1     9
  2.0413774199557226E-03 a       410     0    17     1    10
  6.3159361830703300E-03 a       411     0    17     1    11
  2.0239224595186938E-02 a       412     0    17     1    12
 -1.7545812503431762E-02 a       413     0    17     1    13
 -7.4575509774105986E-02 a       414     0    17     1    14
  1.5153392090839799E-02 a       415     0    17     1    15
 -5.2830654885132930E-02 a       416     0    17     1    16
  5.5530489504357856E-02 a       417     0    17     1    17
