################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1         25   6.9021000461463010E-05   1.5490510324502476E-02   5.5698998235591945E-03   1.9522418989064876E-03
         1         26   1.3521500547573500E-03   4.4779509396561501E-02   1.5132658881244496E-02   3.9809596445502908E-03
         1         27   2.9487405933768959E-02   1.3301847667152034E-01   7.3391624617954468E-02   1.0260718538441679E-02
         1         28   2.6859906037049393E-04   9.1472800659479266E-03   3.1671552175153326E-03   8.1505184924422574E-04
         1         29   4.9142756469880628E-04   1.2561682077905206E-02   3.3922968480595787E-03   9.7758033478784288E-04
         1         30   8.4868891500340764E-03   4.5240419398412723E-02   2.4125977554542061E-02   3.9440901013372163E-03
         1         31   1.8884185716264867E-04   1.0614995536913738E-02   2.2762563202584265E-03   9.0514093571721782E-04
         2          1   1.4069111897303150E+00   3.3090951491733538E+00   2.3700015179377965E+00   1.7013541886602013E-01
         2          2   3.6126550641725919E-01   1.3136498317524801E+00   8.2256564348672934E-01   8.3693449979609411E-02
         2          3   1.1028156061504433E+00   2.5822532310031039E+00   1.8305936656379678E+00   1.3020215549625780E-01
         2          4   2.1734264524493560E-01   9.3381881867732808E-01   5.5877535779187049E-01   6.2116080954887201E-02
         2          5   7.8224914695088943E-01   1.6609412430981307E+00   1.2025734317224370E+00   8.0253592866751003E-02
         2          6   7.5738909548084529E-02   4.6503498209951794E-01   2.6191074277213533E-01   3.4456097956984316E-02
         2          7   5.7668119365143633E-01   1.0565133937828481E+00   8.1740973530006833E-01   5.2351339051469173E-02
         2          8   1.7793688251121785E-02   1.8457222873652934E-01   9.8058736136686780E-02   1.7075451588066795E-02
         2          9   5.2051885786410734E-01   9.5535910537355184E-01   7.2466666178920436E-01   4.9146346329645728E-02
         2         10   8.4380694311313592E-02   7.5708331084459857E-01   4.1273363950096459E-01   6.2033396051575693E-02
         2         11   3.4346995306097772E-01   7.4464745756912809E-01   5.4431013839496323E-01   4.0937476554156645E-02
         2         12   2.9854780161251145E-02   5.6429400166171595E-01   2.9156713732629241E-01   6.1815094637222852E-02
         2         13   1.7536362676393086E-01   5.7163726890576383E-01   3.7962830977160100E-01   4.5245026192407153E-02
         2         14   2.2383731595055677E-03   4.0372882929022708E-01   1.7118376336296501E-01   5.5391919231723596E-02
