################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -3.4616339337039786E-01 a        67     0     3     1    17
 -3.2071623035821639E-01 a        68     0     3     1    18
  1.4820882414006851E+00 a        69     0     3     1    19
  6.0685997111740175E-01 a        70     0     3     1    20
 -1.1035175105819073E+00 a        71     0     3     1    21
  3.1769279476816009E-01 a        72     0     3     1    22
  6.9855452306242538E-01 a        73     0     3     1    23
 -1.0647162762418486E-02 a        74     0     3     1    24
  2.2197617583695933E-01 a        75     0     3     1    25
  1.6477806317707092E-01 a        76     0     4     1     1
 -6.3081965463340250E-01 a        77     0     4     1     2
 -5.9915768024421467E-01 a        78     0     4     1     3
 -5.6025273476450421E-01 a        79     0     4     1     4
 -1.0081316981373224E-01 a        80     0     4     1     5
 -5.2315822632751918E-01 a        81     0     4     1     6
 -2.3349523024992866E-01 a        82     0     4     1     7
  5.7955307888443430E-01 a        83     0     4     1     8
  7.1910341485633811E-01 a        84     0     4     1     9
  6.5428736776737584E-01 a        85     0     4     1    10
  3.3161277707061732E-02 a        86     0     4     1    11
 -4.0375665820983569E-01 a        87     0     4     1    12
  1.3718051966823386E+00 a        88     0     4     1    13
  2.1057819760043249E-02 a        89     0     4     1    14
  5.1876957051707406E-01 a        90     0     4     1    15
 -1.5882978159368053E+00 a        91     0     4     1    16
  6.8045545255027329E-01 a        92     0     4     1    17
  1.7633897436021229E+00 a        93     0     4     1    18
  2.9353913997558723E-01 a        94     0     4     1    19
  1.5376641356693291E-01 a        95     0     4     1    20
  8.2893517235478797E-01 a        96     0     4     1    21
  2.3088445023393103E-01 a        97     0     4     1    22
 -4.4771466900595337E-02 a        98     0     4     1    23
 -3.9942306020723389E-01 a        99     0     4     1    24
 -7.2013717784951137E-01 a       100     0     4     1    25
 -1.1194401262855271E+00 a       101     0     5     1     1
  5.6136553116544985E-01 a       102     0     5     1     2
  2.2409965060973330E-01 a       103     0     5     1     3
  3.0098701513788273E-01 a       104     0     5     1     4
  2.7891739797106203E-02 a       105     0     5     1     5
 -1.0012272553940248E-01 a       106     0     5     1     6
 -9.9578562315883157E-01 a       107     0     5     1     7
 -5.5845723456779062E-01 a       108     0     5     1     8
  5.1273648037152342E-01 a       109     0     5     1     9
  2.4898113028262440E-02 a       110     0     5     1    10
  7.8458281467930646E-01 a       111     0     5     1    11
  7.2566226802959644E-01 a       112     0     5     1    12
  6.3180248377445880E-01 a       113     0     5     1    13
  5.1213202192961722E-02 a       114     0     5     1    14
  2.0188907442430684E-01 a       115     0     5     1    15
 -1.2052764316921989E-01 a       116     0     5     1    16
  3.1761744395364400E-01 a       117     0     5     1    17
 -8.1825490711126070E-01 a       118     0     5     1    18
 -1.4931637897954664E+00 a       119     0     5     1    19
  4.5714373053533786E-01 a       120     0     5     1    20
  2.9911989514632026E-01 a       121     0     5     1    21
 -1.5690486476486096E-01 a       122     0     5     1    22
 -1.2490592165745149E+00 a       123     0     5     1    23
 -2.2013553314637485E-01 a       124     0     5     1    24
 -3.0874417387585396E-01 a       125     0     5     1    25
  7.1118414661439533E-01 a       126     0     6     1     1
  8.0237330178379751E-02 a       127     0     6     1     2
  3.2047705001695204E-01 a       128     0     6     1     3
  6.4964285008820788E-01 a       129     0     6     1     4
  5.5474435017876844E-01 a       130     0     6     1     5
  1.0142770167695847E+00 a       131     0     6     1     6
  4.3267795377855806E-01 a       132     0     6     1     7
 -1.1791430122546347E+00 a       133     0     6     1     8
 -1.1688341949466494E+00 a       134     0     6     1     9
 -4.4930288068845470E-01 a       135     0     6     1    10
  2.1109096961198823E-02 a       136     0     6     1    11
  1.0343279627991362E+00 a       137     0     6     1    12
 -6.7225778836246053E-01 a       138     0     6     1    13
  6.5561218912076591E-01 a       139     0     6     1    14
  1.3866245457408205E-01 a       140     0     6     1    15
  3.4311145498910373E-01 a       141     0     6     1    16
 -1.0226993094271450E+00 a       142     0     6     1    17
 -1.1937198704257814E+00 a       143     0     6     1    18
  6.7111788248256765E-01 a       144     0     6     1    19
 -4.6691186311861761E-02 a       145     0     6     1    20
 -3.4937417807080012E-01 a       146     0     6     1    21
  2.4353342424996863E-01 a       147     0     6     1    22
  7.9656113399534216E-04 a       148     0     6     1    23
  6.3775010846253510E-01 a       149     0     6     1    24
  6.5989676369558614E-01 a       150     0     6     1    25
  4.5426989901041476E-01 a       151     0     7     1     1
 -1.2743735603524906E-01 a       152     0     7     1     2
 -4.0068992509135093E-01 a       153     0     7     1     3
 -2.5640674596267476E-01 a       154     0     7     1     4
 -4.6212542114609767E-01 a       155     0     7     1     5
  3.3606508767443871E-01 a       156     0     7     1     6
  1.4236284966289325E-01 a       157     0     7     1     7
  5.8440057222977571E-01 a       158     0     7     1     8
 -5.0194460490767701E-01 a       159     0     7     1     9
  5.4138762378071102E-02 a       160     0     7     1    10
 -1.3906091307001816E+00 a       161     0     7     1    11
 -2.4321780483128827E-01 a       162     0     7     1    12
 -8.2083202440441691E-02 a       163     0     7     1    13
 -3.9612880676051754E-01 a       164     0     7     1    14
 -7.2704875102661681E-01 a       165     0     7     1    15
 -1.5194882244704080E-02 a       166     0     7     1    16
 -4.4484418718573571E-01 a       167     0     7     1    17
  1.3034447970088605E+00 a       168     0     7     1    18
  8.4146744459311362E-01 a       169     0     7     1    19
 -9.0317673910573015E-01 a       170     0     7     1    20
 -8.1980010658828484E-02 a       171     0     7     1    21
  8.4035923221018771E-01 a       172     0     7     1    22
  9.7947652383046771E-02 a       173     0     7     1    23
  6.9236020908463050E-02 a       174     0     7     1    24
  5.4980792953962010E-01 a       175     0     7     1    25
 -1.0853803367553008E+00 a       176     0     8     1     1
 -6.8851773768846714E-01 a       177     0     8     1     2
 -1.1717748258692879E+00 a       178     0     8     1     3
 -5.4415489790329974E-01 a       179     0     8     1     4
  2.6468011677124620E-01 a       180     0     8     1     5
  8.3181151281189725E-01 a       181     0     8     1     6
 -1.3600606453442993E-01 a       182     0     8     1     7
  5.0468774030157526E-01 a       183     0     8     1     8
  5.1569774432002058E-01 a       184     0     8     1     9
  2.0914586486423617E-01 a       185     0     8     1    10
 -1.3925428297744671E+00 a       186     0     8     1    11
 -3.3574980225191770E-01 a       187     0     8     1    12
 -7.5975766851446924E-01 a       188     0     8     1    13
 -7.2844729325744106E-01 a       189     0     8     1    14
 -8.1419072918207339E-02 a       190     0     8     1    15
 -3.3895512422291996E-01 a       191     0     8     1    16
 -3.0517639755252228E-02 a       192     0     8     1    17
  5.0671470488376813E-01 a       193     0     8     1    18
 -1.0007444127142713E+00 a       194     0     8     1    19
  9.5957622238026438E-02 a       195     0     8     1    20
  2.0139280115395800E-01 a       196     0     8     1    21
  7.6857345412287989E-02 a       197     0     8     1    22
  4.9397015199264793E-01 a       198     0     8     1    23
 -5.9075488228720510E-02 a       199     0     8     1    24
 -8.1380541445302057E-01 a       200     0     8     1    25
 -6.6957784418989474E-01 a       201     0     9     1     1
 -9.6230335357130065E-03 a       202     0     9     1     2
  4.3130467724226923E-01 a       203     0     9     1     3
 -6.3825285409677623E-01 a       204     0     9     1     4
  2.3599385699246805E-01 a       205     0     9     1     5
 -3.4554254878164686E-02 a       206     0     9     1     6
 -1.8627475558840789E-01 a       207     0     9     1     7
 -4.1335249818811903E-01 a       208     0     9     1     8
  9.9502931129689040E-02 a       209     0     9     1     9
 -2.4894607992501286E-01 a       210     0     9     1    10
  9.7424238910477701E-01 a       211     0     9     1    11
  1.8007896778188974E-02 a       212     0     9     1    12
  6.6137552720194059E-01 a       213     0     9     1    13
  4.1140231214898215E-01 a       214     0     9     1    14
  2.4545621705771009E-01 a       215     0     9     1    15
  3.4136969531351663E-01 a       216     0     9     1    16
  1.6282735093018197E-01 a       217     0     9     1    17
 -7.5524358867799202E-01 a       218     0     9     1    18
 -2.0063704092048867E-01 a       219     0     9     1    19
  1.1758180062754817E+00 a       220     0     9     1    20
 -4.1176476577351420E-02 a       221     0     9     1    21
 -1.7153963385028004E-01 a       222     0     9     1    22
 -1.0741478349611219E-01 a       223     0     9     1    23
 -4.1799272676712751E-01 a       224     0     9     1    24
 -3.9931879962074179E-01 a       225     0     9     1    25
 -9.4635030364761778E-03 a       226     0    10     1     1
  5.1918709546688457E-01 a       227     0    10     1     2
  1.8685882913742905E-02 a       228     0    10     1     3
  2.6593572242677493E-01 a       229     0    10     1     4
 -4.3720802328346003E-01 a       230     0    10     1     5
 -8.1185449617071004E-01 a       231     0    10     1     6
  8.7015215317466282E-02 a       232     0    10     1     7
 -2.5962715078086962E-01 a       233     0    10     1     8
  3.4987891236440122E-01 a       234     0    10     1     9
  2.4238536261148406E-03 a       235     0    10     1    10
  7.4151516050213417E-01 a       236     0    10     1    11
  8.1916542468092921E-02 a       237     0    10     1    12
  8.9722626307418851E-01 a       238     0    10     1    13
  4.0246362969536753E-01 a       239     0    10     1    14
 -1.6475772859084102E-02 a       240     0    10     1    15
  7.5036038082406131E-01 a       241     0    10     1    16
  3.7755894104115822E-01 a       242     0    10     1    17
 -9.3714864323252614E-02 a       243     0    10     1    18
  1.6283107196740934E-01 a       244     0    10     1    19
 -9.8733084039849799E-03 a       245     0    10     1    20
 -3.9934633972654587E-01 a       246     0    10     1    21
  1.4930188776264008E-01 a       247     0    10     1    22
  1.6933969255482265E-01 a       248     0    10     1    23
 -3.7504325688252416E-01 a       249     0    10     1    24
  1.3697056875925670E-01 a       250     0    10     1    25
  5.0466581545191691E-01 a       251     0    11     1     1
  6.3460360000806237E-01 a       252     0    11     1     2
  1.9841291619077042E-01 a       253     0    11     1     3
  3.3792898498293344E-01 a       254     0    11     1     4
 -8.3006041956142640E-02 a       255     0    11     1     5
 -3.5645498859915364E-01 a       256     0    11     1     6
  2.9373514752728974E-01 a       257     0    11     1     7
  8.0802663146590370E-01 a       258     0    11     1     8
 -4.6566272646760959E-01 a       259     0    11     1     9
 -8.6097856935745024E-02 a       260     0    11     1    10
 -5.6438183925837637E-01 a       261     0    11     1    11
 -6.8322500221639104E-01 a       262     0    11     1    12
  3.4054539089760377E-01 a       263     0    11     1    13
  7.1170247575852372E-02 a       264     0    11     1    14
 -4.4853970413849747E-01 a       265     0    11     1    15
 -5.5353684710702566E-01 a       266     0    11     1    16
 -3.7742184424992958E-01 a       267     0    11     1    17
  8.7687220297125346E-01 a       268     0    11     1    18
  1.4290775467301511E-01 a       269     0    11     1    19
 -3.3178103690689020E-01 a       270     0    11     1    20
 -3.7453701548867396E-01 a       271     0    11     1    21
 -3.8877323230103994E-01 a       272     0    11     1    22
 -5.3321235388097432E-01 a       273     0    11     1    23
 -5.2195229096713369E-01 a       274     0    11     1    24
  1.1763584462934991E+00 a       275     0    11     1    25
  2.4134369058476704E-01 a       276     0    12     1     1
  6.5401996610631981E-03 a       277     0    12     1     2
  4.1075794355244660E-01 a       278     0    12     1     3
  1.3651093232363695E-01 a       279     0    12     1     4
  2.0601089702150807E-01 a       280     0    12     1     5
  2.9817000924447662E-01 a       281     0    12     1     6
 -2.5432665878877564E-01 a       282     0    12     1     7
  4.8444173055268075E-01 a       283     0    12     1     8
 -2.7646034780203349E-01 a       284     0    12     1     9
  5.4556439984630567E-01 a       285     0    12     1    10
 -6.5131568238837853E-02 a       286     0    12     1    11
 -3.8998565247752753E-01 a       287     0    12     1    12
 -5.1042737674637495E-01 a       288     0    12     1    13
  1.8168492296960256E-01 a       289     0    12     1    14
 -1.5596474441618355E-01 a       290     0    12     1    15
 -4.6606927802370030E-01 a       291     0    12     1    16
  3.7515197217161900E-01 a       292     0    12     1    17
  1.6057081147418534E-01 a       293     0    12     1    18
 -1.1026561457360171E-01 a       294     0    12     1    19
 -4.9168488373731979E-02 a       295     0    12     1    20
 -6.3534314476152376E-02 a       296     0    12     1    21
 -5.8019639584822735E-01 a       297     0    12     1    22
 -4.3064572913723209E-01 a       298     0    12     1    23
  5.4355773837347954E-01 a       299     0    12     1    24
  3.3530480615536684E-01 a       300     0    12     1    25
 -1.0081654817576142E+00 a       301     0    13     1     1
  3.6097460200683945E-01 a       302     0    13     1     2
  9.4429098226626684E-01 a       303     0    13     1     3
  1.2144952235661535E-01 a       304     0    13     1     4
  1.2360942426064818E+00 a       305     0    13     1     5
 -4.1581732542774691E-01 a       306     0    13     1     6
 -2.0280311895616041E+00 a       307     0    13     1     7
 -8.2617694361495531E-01 a       308     0    13     1     8
  4.7569658864029439E-02 a       309     0    13     1     9
 -6.3692750133316087E-02 a       310     0    13     1    10
 -5.7392914325525707E-02 a       311     0    13     1    11
 -9.6412543258091954E-01 a       312     0    13     1    12
  5.3388572284535397E-03 a       313     0    13     1    13
  1.0223290778883625E+00 a       314     0    13     1    14
  6.8863837234962488E-01 a       315     0    13     1    15
  2.5116818971765453E-01 a       316     0    13     1    16
  1.6094295838199452E-01 a       317     0    13     1    17
 -5.9101812188510405E-01 a       318     0    13     1    18
  4.8112803723928182E-01 a       319     0    13     1    19
  8.4534711828014558E-02 a       320     0    13     1    20
  4.3897411092364252E-02 a       321     0    13     1    21
  8.5965103774141327E-01 a       322     0    13     1    22
 -7.7221041841862414E-01 a       323     0    13     1    23
  5.1238920946441802E-01 a       324     0    13     1    24
 -1.5456940794649281E+00 a       325     0    13     1    25
 -2.5126393214344089E-01 a       326     0    14     1     1
  2.0905229053521590E-01 a       327     0    14     1     2
 -1.4549752311185923E-01 a       328     0    14     1     3
  2.4109780537671588E-01 a       329     0    14     1     4
 -2.1770239851523050E-02 a       330     0    14     1     5
 -4.2003981360680891E-02 a       331     0    14     1     6
 -1.1764552748922659E-01 a       332     0    14     1     7
 -1.4268699950786384E-01 a       333     0    14     1     8
  7.3367854442313141E-02 a       334     0    14     1     9
 -1.5674056986480941E-01 a       335     0    14     1    10
  1.3062809233818801E-01 a       336     0    14     1    11
  3.0338367989310968E-02 a       337     0    14     1    12
  2.5454981484988892E-01 a       338     0    14     1    13
  5.6522993485045761E-02 a       339     0    14     1    14
  4.6746313818933141E-02 a       340     0    14     1    15
  3.3356758669960483E-02 a       341     0    14     1    16
  7.1967542428509265E-02 a       342     0    14     1    17
 -4.5916221681477347E-02 a       343     0    14     1    18
  1.3979749959688251E-01 a       344     0    14     1    19
  2.5396952799982268E-02 a       345     0    14     1    20
 -2.2580474843798523E-01 a       346     0    14     1    21
  3.8392595720563617E-02 a       347     0    14     1    22
  5.3651937537995608E-03 a       348     0    14     1    23
  1.4956354716997000E-01 a       349     0    14     1    24
  2.8239661478886950E-02 a       350     0    14     1    25
 -2.9692916894231375E-01 a       351     0    15     1     1
 -2.4001718320158250E-01 a       352     0    15     1     2
 -3.8259698623439814E-01 a       353     0    15     1     3
  1.4766195011223365E-01 a       354     0    15     1     4
  1.4447327799734892E-02 a       355     0    15     1     5
 -9.2997804747672691E-02 a       356     0    15     1     6
  7.1389481119460463E-01 a       357     0    15     1     7
 -6.3241970412217241E-02 a       358     0    15     1     8
  3.0920865804771169E-02 a       359     0    15     1     9
 -1.1727900656354781E-03 a       360     0    15     1    10
  6.1086496800265522E-01 a       361     0    15     1    11
  1.3294633650079440E-01 a       362     0    15     1    12
  3.8672401346351137E-01 a       363     0    15     1    13
 -6.0679866119493686E-01 a       364     0    15     1    14
 -6.2445363098478857E-01 a       365     0    15     1    15
 -3.3032753335069040E-02 a       366     0    15     1    16
 -5.7732459525985014E-01 a       367     0    15     1    17
 -7.1412225990340417E-02 a       368     0    15     1    18
  6.1078200712066190E-02 a       369     0    15     1    19
  4.3005306895181915E-02 a       370     0    15     1    20
  2.1999701048191969E-01 a       371     0    15     1    21
 -3.1852379965562638E-01 a       372     0    15     1    22
  1.2677876257101892E-01 a       373     0    15     1    23
  4.1194481874926414E-02 a       374     0    15     1    24
  5.0025420767343365E-01 a       375     0    15     1    25
  1.1699380749363786E-04 a       376     0    16     1     1
 -5.4068347988613784E-02 a       377     0    16     1     2
 -1.0689576644061118E-01 a       378     0    16     1     3
  9.2857094726491077E-02 a       379     0    16     1     4
 -7.0953891938074207E-02 a       380     0    16     1     5
  8.8631492122264205E-02 a       381     0    16     1     6
  1.0146468927139133E-02 a       382     0    16     1     7
  1.6155008475089410E-03 a       383     0    16     1     8
  8.5209385590791858E-02 a       384     0    16     1     9
  4.7212331817072767E-02 a       385     0    16     1    10
  6.3047523770037694E-02 a       386     0    16     1    11
  1.0919225267746321E-01 a       387     0    16     1    12
 -1.4331822600482999E-01 a       388     0    16     1    13
 -1.2374105835327923E-01 a       389     0    16     1    14
  1.0234756989460865E-02 a       390     0    16     1    15
 -8.3115794327659892E-02 a       391     0    16     1    16
  4.3987774933773982E-02 a       392     0    16     1    17
  7.6200515990037992E-02 a       393     0    16     1    18
 -3.1543198695437577E-02 a       394     0    16     1    19
  7.0320459255793971E-02 a       395     0    16     1    20
 -1.0179501942624970E-01 a       396     0    16     1    21
 -1.4469122291393829E-01 a       397     0    16     1    22
  7.1734022370174649E-02 a       398     0    16     1    23
  1.4899438000252158E-01 a       399     0    16     1    24
  1.0455990241359207E-01 a       400     0    16     1    25
  1.4493604017361958E-01 a       401     0    17     1     1
  7.0644372538144637E-02 a       402     0    17     1     2
 -1.6929285053159401E-01 a       403     0    17     1     3
  2.4099732031575999E-01 a       404     0    17     1     4
 -3.9798449244839329E-01 a       405     0    17     1     5
 -1.2710883426882288E-01 a       406     0    17     1     6
 -4.8224692361840887E-01 a       407     0    17     1     7
  1.6002349450153494E-01 a       408     0    17     1     8
 -1.6948322633037052E-01 a       409     0    17     1     9
 -2.5205417699070853E-01 a       410     0    17     1    10
  6.0705165117868776E-02 a       411     0    17     1    11
  5.9653655902486225E-02 a       412     0    17     1    12
  1.3417006052447630E-01 a       413     0    17     1    13
 -5.9697022009935360E-02 a       414     0    17     1    14
 -1.4958116212597164E-01 a       415     0    17     1    15
  1.0244987988867131E-02 a       416     0    17     1    16
 -5.6371566402686670E-03 a       417     0    17     1    17
 -3.1492562274210095E-01 a       418     0    17     1    18
  8.6653024867372266E-02 a       419     0    17     1    19
 -4.5799906500033939E-02 a       420     0    17     1    20
  2.6989924041385710E-01 a       421     0    17     1    21
  2.7716942287891044E-01 a       422     0    17     1    22
 -3.0501635352899314E-01 a       423     0    17     1    23
  6.5159424423876192E-02 a       424     0    17     1    24
  9.0673239810216535E-02 a       425     0    17     1    25
 -6.7815997871383635E-02 a       426     0    18     1     1
 -1.0993555384632106E-01 a       427     0    18     1     2
  1.3537270968278850E-01 a       428     0    18     1     3
 -1.5926674413219760E-01 a       429     0    18     1     4
  9.3343007132215827E-02 a       430     0    18     1     5
 -8.3241358908069260E-02 a       431     0    18     1     6
  1.1734437456886107E-01 a       432     0    18     1     7
  1.1430134106084860E-01 a       433     0    18     1     8
  3.1486707077093036E-02 a       434     0    18     1     9
 -7.2738450663994121E-03 a       435     0    18     1    10
  4.4058945784138256E-02 a       436     0    18     1    11
 -7.1293644068280482E-02 a       437     0    18     1    12
 -7.9852555309447612E-02 a       438     0    18     1    13
  5.8606079129310124E-03 a       439     0    18     1    14
  3.7461281771199804E-02 a       440     0    18     1    15
  7.3661923007463562E-02 a       441     0    18     1    16
  2.1170679596456705E-02 a       442     0    18     1    17
 -3.9306855292987435E-02 a       443     0    18     1    18
 -4.2937856815186776E-02 a       444     0    18     1    19
 -3.4009372394334755E-02 a       445     0    18     1    20
  1.1985357687678287E-01 a       446     0    18     1    21
 -1.3971412232540184E-01 a       447     0    18     1    22
  9.5606776397019852E-02 a       448     0    18     1    23
 -3.9149178802147721E-03 a       449     0    18     1    24
 -6.7723696478388176E-02 a       450     0    18     1    25
 -1.4707844751676308E-01 a       451     0    19     1     1
 -9.0120314638275079E-03 a       452     0    19     1     2
 -1.7920692411975123E-01 a       453     0    19     1     3
  4.4108234927122447E-01 a       454     0    19     1     4
 -3.8320139439361722E-01 a       455     0    19     1     5
 -8.7812025973148122E-01 a       456     0    19     1     6
  3.8725444452233017E-03 a       457     0    19     1     7
  4.8793303999680282E-01 a       458     0    19     1     8
  3.9815918672437717E-01 a       459     0    19     1     9
  1.9532335268708189E-02 a       460     0    19     1    10
  1.2977378809612011E-01 a       461     0    19     1    11
 -1.6621981739929370E-01 a       462     0    19     1    12
 -2.8628099356331538E-01 a       463     0    19     1    13
 -5.9780438386525347E-01 a       464     0    19     1    14
 -3.2720901059103003E-01 a       465     0    19     1    15
 -1.2254107166844646E+00 a       466     0    19     1    16
  7.3438043150242022E-02 a       467     0    19     1    17
 -1.4359642355363642E-01 a       468     0    19     1    18
 -4.7174078056859553E-01 a       469     0    19     1    19
  8.5376769717625214E-02 a       470     0    19     1    20
 -1.0861575768646188E-01 a       471     0    19     1    21
 -6.7216119246000461E-01 a       472     0    19     1    22
 -3.3760994011351309E-01 a       473     0    19     1    23
  6.9779171869501011E-01 a       474     0    19     1    24
  3.1205621191128102E-01 a       475     0    19     1    25
  2.3914241614146317E-01 a       476     0    20     1     1
  1.1361825951349885E-02 a       477     0    20     1     2
  8.7888516751733661E-02 a       478     0    20     1     3
 -1.8172232597731341E-01 a       479     0    20     1     4
 -4.9434728241986609E-02 a       480     0    20     1     5
  1.2291711038386685E-01 a       481     0    20     1     6
  1.2816233527573004E-02 a       482     0    20     1     7
 -1.0419884973390103E-01 a       483     0    20     1     8
  8.5915879764068157E-02 a       484     0    20     1     9
 -7.7151090697294117E-02 a       485     0    20     1    10
 -7.9839107830102701E-02 a       486     0    20     1    11
  1.1335271091978176E-01 a       487     0    20     1    12
  2.3998600948671456E-01 a       488     0    20     1    13
  2.9836442627054954E-01 a       489     0    20     1    14
 -1.0694949296578060E-01 a       490     0    20     1    15
  7.5646927269533037E-01 a       491     0    20     1    16
 -2.6683546816370422E-02 a       492     0    20     1    17
  3.8261531922778778E-02 a       493     0    20     1    18
  1.3997332497809140E-01 a       494     0    20     1    19
 -3.9049537240416106E-02 a       495     0    20     1    20
  1.6461823413773993E-01 a       496     0    20     1    21
  5.6408214454298156E-01 a       497     0    20     1    22
  1.1295621157760580E-01 a       498     0    20     1    23
 -3.8665585714949063E-01 a       499     0    20     1    24
 -1.6986527895790562E-01 a       500     0    20     1    25
  3.2286615947016162E-01 a       501     0    21     1     1
 -1.1841006919202264E-02 a       502     0    21     1     2
  9.6657556742008686E-03 a       503     0    21     1     3
 -2.3784870466877710E-02 a       504     0    21     1     4
  2.5280925091598455E-01 a       505     0    21     1     5
  9.4799940156021584E-02 a       506     0    21     1     6
  5.6363653777583078E-01 a       507     0    21     1     7
  5.0097522980039833E-02 a       508     0    21     1     8
  3.1124229961349709E-01 a       509     0    21     1     9
 -1.7383831135225378E-01 a       510     0    21     1    10
 -4.3564362288139882E-02 a       511     0    21     1    11
  3.4710412217577574E-01 a       512     0    21     1    12
 -1.5419719429000853E-01 a       513     0    21     1    13
  1.2282631650642395E-01 a       514     0    21     1    14
  4.6431557750783135E-02 a       515     0    21     1    15
 -2.2140349247967755E-01 a       516     0    21     1    16
  9.5096774595037181E-02 a       517     0    21     1    17
  2.0292089259011756E-01 a       518     0    21     1    18
  7.9767441904417966E-02 a       519     0    21     1    19
  3.0336297725792788E-01 a       520     0    21     1    20
 -3.1194061974294485E-01 a       521     0    21     1    21
 -2.1779028883747048E-01 a       522     0    21     1    22
  4.0135342653010314E-01 a       523     0    21     1    23
  1.2962995766446159E-01 a       524     0    21     1    24
 -2.1073230644343219E-01 a       525     0    21     1    25
 -2.2568634115994743E-01 a       526     0    22     1     1
  1.2615156662829036E-01 a       527     0    22     1     2
  3.3813189391314225E-02 a       528     0    22     1     3
 -1.5102357955661461E-01 a       529     0    22     1     4
  3.0609349483865900E-01 a       530     0    22     1     5
  1.2050089794571298E-01 a       531     0    22     1     6
