################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -9.6332482922848947E-02 a         1     0     1     1     1
  6.4814257395111330E-01 a         2     0     1     1     2
  4.1252354990103240E-01 a         3     0     1     1     3
 -1.5841004892657012E-01 a         4     0     1     1     4
 -2.0409843688015814E-01 a         5     0     1     1     5
  2.3190142726983606E-01 a         6     0     1     1     6
 -4.4124296952599756E-01 a         7     0     1     1     7
 -2.4517796967087396E-01 a         8     0     1     1     8
 -3.1955773313857455E-01 a         9     0     1     1     9
 -2.4938015033015390E-01 a        10     0     1     1    10
 -7.1327541832436558E-02 a        11     0     1     1    11
  7.5670586887903646E-01 a        12     0     1     1    12
  8.1059465848340495E-01 a        13     0     1     1    13
  4.2983099648646245E-01 a        14     0     1     1    14
 -1.3576382563631614E-01 a        15     0     1     1    15
 -7.1858599956456137E-01 a        16     0     1     1    16
  6.0438821543199439E-01 a        17     0     1     1    17
  5.4620326946899811E-01 a        18     0     1     1    18
 -6.6365979155999777E-01 a        19     0     1     1    19
 -3.2192408171594467E-01 a        20     0     1     1    20
  3.1514309773684340E-01 a        21     0     1     1    21
 -4.4566867273816696E-01 a        22     0     1     1    22
 -2.5453766183871146E-01 a        23     0     1     1    23
  7.6221103498856235E-01 a        24     0     1     1    24
 -1.9967919912804771E-01 a        25     0     1     1    25
 -5.7163504830760437E-01 a        26     0     2     1     1
 -3.2091393414037739E-01 a        27     0     2     1     2
  2.6187969796445970E-01 a        28     0     2     1     3
  4.6342788465781964E-01 a        29     0     2     1     4
  1.0350689410553950E-01 a        30     0     2     1     5
  1.9130181967671061E-03 a        31     0     2     1     6
  1.0535165819292928E-01 a        32     0     2     1     7
  2.4368417666376430E-02 a        33     0     2     1     8
  6.8721857402202144E-02 a        34     0     2     1     9
  2.8477818808847862E-02 a        35     0     2     1    10
  3.2764697773359397E-01 a        36     0     2     1    11
 -1.0089473166083958E-01 a        37     0     2     1    12
 -9.3777352222870525E-01 a        38     0     2     1    13
 -6.4470543199314601E-01 a        39     0     2     1    14
 -1.1925005514086266E-01 a        40     0     2     1    15
  1.6112401427721439E+00 a        41     0     2     1    16
 -5.9426332122356740E-01 a        42     0     2     1    17
 -1.1348157482390973E+00 a        43     0     2     1    18
 -2.0638629189918725E-01 a        44     0     2     1    19
 -2.8904449918281022E-01 a        45     0     2     1    20
  3.5465186466993370E-02 a        46     0     2     1    21
  7.3005219162117566E-02 a        47     0     2     1    22
  3.8613265851173895E-01 a        48     0     2     1    23
 -7.8174774913910672E-01 a        49     0     2     1    24
  3.4984378038843433E-01 a        50     0     2     1    25
  6.7609701162764091E-01 a        51     0     3     1     1
 -1.6715159120771020E-01 a        52     0     3     1     2
 -3.4162121666182976E-01 a        53     0     3     1     3
 -2.9147426302713381E-01 a        54     0     3     1     4
  2.0856253797095106E-01 a        55     0     3     1     5
  7.6570620747662729E-02 a        56     0     3     1     6
  8.1402546118405761E-01 a        57     0     3     1     7
  5.5335515267025293E-01 a        58     0     3     1     8
 -4.0036090082264814E-01 a        59     0     3     1     9
 -7.6699108887132592E-02 a        60     0     3     1    10
 -4.4356261248539564E-01 a        61     0     3     1    11
 -1.2274485232350283E+00 a        62     0     3     1    12
 -1.1989001003573183E+00 a        63     0     3     1    13
  3.4719278514113172E-01 a        64     0     3     1    14
 -1.5011020591567317E-01 a        65     0     3     1    15
  2.9813823224217573E-01 a        66     0     3     1    16
